@sprite <
   *** 
  ***0*
  *****
   33* 
*88888 
*88888 
   888 
   888 
   888 
   ;;; 
   ;;; 
   * * 
   * * 
   * * 
   * * 
  **** E
@sprite {
   *** 
  ***0*
  *****
   33* 
*88888 
*88888 
   888 
   888 
   888 
   ;;; 
   ;;; 
   * * 
    *  
    *  
    ***
  **  *E
@sprite >
 ***   
*0***  
*****  
 *33   
 88888*
 88888*
 888   
 888   
 888   
 ;;;   
 ;;;   
 * *   
 * *   
 * *   
 * *   
 ****  E
@sprite }
 ***   
*0***  
*****  
 *33   
 88888*
 88888*
 888   
 888   
 888   
 ;;;   
 ;;;   
 * *   
  *    
  *    
***    
*  **  E
@sprite D
 <<< 
  <  
 <1< 
 <1< 
 <<< 
  <  E
@final_level
9
@enable_high_jump
0
@enable_weapon
0
@level 1
HEROIN TIME!
124 160 H
190 145 H
61 145 H
7 130 H
247 130 H
127 31 H
91 46 H
160 46 H
127 61 H
127 76 H
127 91 H
178 76 H
229 82 H
256 103 H
76 31 H
25 31 H
-8 31 H
178 31 H
124 175 H
229 31 H
274 1 V
85 22 V
85 -2 V
145 130 V
124 52 V
124 67 V
145 100 V
67 1 V
46 1 V
22 1 V
262 7 D
22 88 D
145 43 D
22 76 D
157 148 D
127 145 D
292 91 D
259 91 D
274 91 D
34 82 D
@level 2
Gimme HASIS
1 160 H
52 160 H
103 160 H
154 160 H
205 160 H
256 160 H
274 160 H
268 136 H
268 115 H
217 97 H
157 85 H
103 73 H
49 61 H
-5 46 H
49 31 H
100 31 H
151 31 H
202 31 H
253 31 H
268 31 H
43 118 V
103 118 V
103 82 V
178 70 V
124 61 V
247 1 V
265 1 V
280 1 V
295 1 V
310 1 V
7 28 D
16 115 D
76 115 D
70 49 D
229 10 D
208 10 D
187 10 D
187 136 D
289 100 D
289 124 D
@level 3
Smoke'n'fly
133 172 H
133 148 H
133 124 H
133 103 H
133 82 H
133 61 H
82 124 H
31 124 H
184 124 H
235 124 H
55 61 H
208 61 H
4 61 H
259 61 H
277 61 H
133 43 H
133 25 H
133 136 H
133 115 H
133 184 H
133 94 V
133 64 V
133 31 V
178 25 V
133 25 V
178 55 V
178 85 V
178 97 V
31 112 V
283 112 V
7 31 D
304 28 D
151 10 D
46 97 D
262 100 D
10 112 D
298 112 D
133 157 D
172 157 D
154 157 D
@level 4
Hidden Pills
49 178 H
100 157 H
151 157 H
151 139 H
151 121 H
151 175 H
151 106 H
151 91 H
202 91 H
253 91 H
253 76 H
253 61 H
253 46 H
253 31 H
172 31 H
